31
52
 1   2   3   4
 2   8  12   4
 2   4   4   3
 2   3   6   7
 8   9   5   4
 4   7   5   5
 7  11   5   6
 4   5   3   5
 3   5   5   2
 3   6   6   6
 5   6   5   6
 6  13   7   7
11  12   6   7
11  10   5   8
 9  10   6   1
 9  26   3   8
 9  25   7   3
25  26   5   5
24  26   4   6
10  24   6   8
 0  10   8   6
23  24   3   5
22  25   6   7
22  23   5   9
21  23   4   7
21  22   6   1
 0  21   5   9
 0  12   6   8
12  13   6   7
13  14   2   4
14  16   5   3
 0  16   6   6
 0  20   3   3
16  20   4   3
16  17   3   3
17  20   4   3
20  21   5   9
15  17   4   4
15  18  11   1
17  19   4   1
18  19   6   1
18  22   10  4
19  21   6   9
 8  28   4   4
 9  28   3   1
 9  27   3   6
27  28   5   6
 6  30   6   6
13  30   5   8
29  30   8   9
14  29   4   2
15  29   3   4
100
50
344
370
