31
52
 1   2   3   4
 2   8  12  22
 2   4   4   9
 2   3   6  17
 8   9   5  15
 4   7   51  13
 7  11   5  16
 4   5   3   0
 3   5   5  16
 3   6   6   5
 5   6   5  20
 6  13   7  25
11  12   6  11
11  10   5   0
 9  10   6   5
 9  26   3   0
 9  25   7   6
25  26   5   0
24  26   4   9
10  24   6  10
 0  10   8   0
23  24   3   4
22  25   6  18
22  23   5  10
21  23   4   7
21  22   6   6
 0  21   5  10
 0  12   6   0
12  13   6   5
13  14   2   4
14  16   5  15
 0  16   6   5
 0  20   3   0
16  20   4   7
16  17   3   0
17  20   4   4
20  21   5  17
15  17   4   3
15  18  11  20
17  19   4   3
18  19   6  16
18  22   10 19
19  21   6  15
 8  28   4   4
 9  28   3   6
 9  27   3   3
27  28   5   8
 6  30   6  20
13  30   5  10
29  30   8  23
14  29   4   0
15  29   3   0
100
25
693
860
